Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
iis-on-windows-server-2016-cw                       cloudwhizsolutions                  iis-on-windows-server-2016-cw                      cloudwhizsolutions:iis-on-windows-server-2016-cw:iis-on-windows-server-2016-cw:1.2019.1009                                        1.2019.1009
cis-windows-server-2016-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2016-l2                                      center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l2:cis-ws2016-l2:1.2.2                                            1.2.2
cis-windows-server-2016-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2016-l2                                      center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l2:cis-ws2016-l2:1.2.3                                            1.2.3
cis-windows-server-2016-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2016-l2                                      center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l2:cis-ws2016-l2:1.2.4                                            1.2.4
squid-windows2016                                   cloud-infrastructure-services       squid-windows2016                                  cloud-infrastructure-services:squid-windows2016:squid-windows2016:0.0.1                                                           0.0.1
joomla-windows-server-2016                          apps-4-rent                         joomla-windows-server-2016-v1                      apps-4-rent:joomla-windows-server-2016:joomla-windows-server-2016-v1:1.0.2                                                        1.0.2
wordpress-with-windows-server-2019-cm               cloudmavensolutions                 wordpress-with-windows-server-2019                 cloudmavensolutions:wordpress-with-windows-server-2019-cm:wordpress-with-windows-server-2019:1.2020.1010                          1.2020.1010
cis-windows-server-2016-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2016-l2-private0                             center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l2:cis-ws2016-l2-private0:1.2.2                                   1.2.2
cis-windows-server-2016-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2016-l2-private0                             center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l2:cis-ws2016-l2-private0:1.2.3                                   1.2.3
cis-windows-server-2016-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2016-l2-private0                             center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l2:cis-ws2016-l2-private0:1.2.4                                   1.2.4
iis-on-windows-server-2019-cw                       cloudwhizsolutions                  iis-on-windows-server-2019-cw                      cloudwhizsolutions:iis-on-windows-server-2019-cw:iis-on-windows-server-2019-cw:1.2019.1009                                        1.2019.1009
squid-windows2019                                   cloud-infrastructure-services       squid-windows2019                                  cloud-infrastructure-services:squid-windows2019:squid-windows2019:0.0.1                                                           0.0.1
joomla-windows-server-2019                          apps-4-rent                         joomla-windows-server-2019-v1                      apps-4-rent:joomla-windows-server-2019:joomla-windows-server-2019-v1:1.0.2                                                        1.0.2
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-windows-server-2019-l1-private                 center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-windows-server-2019-l1-private:1.1.2                       1.1.2
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-windows-server-2019-l1-private                 center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-windows-server-2019-l1-private:1.1.3                       1.1.3
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-windows-server-2019-l1-private                 center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-windows-server-2019-l1-private:1.1.4                       1.1.4
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1                                      center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1:1.1.2                                            1.1.2
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1                                      center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1:1.1.3                                            1.1.3
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1                                      center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1:1.1.4                                            1.1.4
internet-information-server-with-windows-2016-cw    cloudwhizsolutions                  internet-information-server-with-windows-2016-cw   cloudwhizsolutions:internet-information-server-with-windows-2016-cw:internet-information-server-with-windows-2016-cw:1.2019.1009  1.2019.1009
weka-windows-2016                                   cloud-infrastructure-services       weka-windows-2016                                  cloud-infrastructure-services:weka-windows-2016:weka-windows-2016:0.0.2                                                           0.0.2
keepass-on-windows-server-2019                      apps-4-rent                         keepass-on-windows-server-2019                     apps-4-rent:keepass-on-windows-server-2019:keepass-on-windows-server-2019:1.0.0                                                   1.0.0
capi-windows                                        cncf-upstream                       k8s-1dot17dot17-windows-2019                       cncf-upstream:capi-windows:k8s-1dot17dot17-windows-2019:2021.01.15                                                                2021.01.15
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1-private0                             center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1-private0:1.1.2                                   1.1.2
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1-private0                             center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1-private0:1.1.3                                   1.1.3
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1-private0                             center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1-private0:1.1.4                                   1.1.4
capi-windows                                        cncf-upstream                       k8s-1dot18dot13-windows-2019                       cncf-upstream:capi-windows:k8s-1dot18dot13-windows-2019:2020.12.11                                                                2020.12.11
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1-volvo-private-offer                  center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1-volvo-private-offer:1.1.2                        1.1.2
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1-volvo-private-offer                  center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1-volvo-private-offer:1.1.3                        1.1.3
cis-windows-server-2019-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2019-l1-volvo-private-offer                  center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l1:cis-ws2019-l1-volvo-private-offer:1.1.4                        1.1.4
internet-information-server-with-windows-2019-cw    cloudwhizsolutions                  internet-information-server-with-windows-2019-cw   cloudwhizsolutions:internet-information-server-with-windows-2019-cw:internet-information-server-with-windows-2019-cw:1.2019.1009  1.2019.1009
weka-windows-2019                                   cloud-infrastructure-services       weka-windows-2019                                  cloud-infrastructure-services:weka-windows-2019:weka-windows-2019:0.0.2                                                           0.0.2
capi-windows                                        cncf-upstream                       k8s-1dot18dot14-windows-2019                       cncf-upstream:capi-windows:k8s-1dot18dot14-windows-2019:2021.01.15                                                                2021.01.15
kooboo-on-windows-2019                              apps-4-rent                         kooboo-on-windows-2019                             apps-4-rent:kooboo-on-windows-2019:kooboo-on-windows-2019:1.0.0                                                                   1.0.0
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-microsoft-ws-2019-l2-private-015               center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-microsoft-ws-2019-l2-private-015:1.1.2                     1.1.2
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-microsoft-ws-2019-l2-private-015               center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-microsoft-ws-2019-l2-private-015:1.1.3                     1.1.3
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-microsoft-ws-2019-l2-private-015               center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-microsoft-ws-2019-l2-private-015:1.1.4                     1.1.4
mysql-8-on-windows-server-2016-cw                   cloudwhizsolutions                  mysql-8-on-windows-server-2016-cw                  cloudwhizsolutions:mysql-8-on-windows-server-2016-cw:mysql-8-on-windows-server-2016-cw:1.2019.1001                                1.2019.1001
capi-windows                                        cncf-upstream                       k8s-1dot18dot15-windows-2019                       cncf-upstream:capi-windows:k8s-1dot18dot15-windows-2019:2021.01.15                                                                2021.01.15
wordpress-windows-2016                              cloud-infrastructure-services       wordpress-windows-2016                             cloud-infrastructure-services:wordpress-windows-2016:wordpress-windows-2016:0.0.4                                                 0.0.4
kotlin-programming-language-windows-server-2012r2   apps-4-rent                         kotlin-windows-server-2012r2                       apps-4-rent:kotlin-programming-language-windows-server-2012r2:kotlin-windows-server-2012r2:2.0.0                                  2.0.0
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2019-l2                                      center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-ws2019-l2:1.1.2                                            1.1.2
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2019-l2                                      center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-ws2019-l2:1.1.3                                            1.1.3
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2019-l2                                      center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-ws2019-l2:1.1.4                                            1.1.4
capi-windows                                        cncf-upstream                       k8s-1dot19dot3-windows-2019                        cncf-upstream:capi-windows:k8s-1dot19dot3-windows-2019:2020.12.07                                                                 2020.12.07
kotlin-programming-language-windows-server-2012r2   apps-4-rent                         kotlin-windows-server-2012r2-v1                    apps-4-rent:kotlin-programming-language-windows-server-2012r2:kotlin-windows-server-2012r2-v1:2.0.1                               2.0.1
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2019-l2-private0                             center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-ws2019-l2-private0:1.1.2                                   1.1.2
cis-windows-server-2019-v1-0-0-l2                   center-for-internet-security-inc    cis-ws2019-l2-private0                             center-for-internet-security-inc:cis-windows-server-2019-v1-0-0-l2:cis-ws2019-l2-private0:1.1.3                                   1.1.3
